id,date,commodity,mandi,price_min,price_max,price_modal,arrival,unit
1,2026-06-03,Onion,Azadpur,3441.0,3641.0,3541.0,440.0,Rs/Quintal
91,2026-06-03,Onion,Lasalgaon,3704.0,3904.0,3804.0,325.0,Rs/Quintal
181,2026-06-03,Onion,Vashi,3583.0,3783.0,3683.0,58.0,Rs/Quintal
271,2026-06-03,Onion,Kolar,3390.0,3590.0,3490.0,163.0,Rs/Quintal
361,2026-06-03,Onion,Indore,3711.0,3911.0,3811.0,487.0,Rs/Quintal
451,2026-06-03,Onion,Pune,3463.0,3663.0,3563.0,149.0,Rs/Quintal
541,2026-06-03,Onion,Mumbai,3521.0,3721.0,3621.0,188.0,Rs/Quintal
631,2026-06-03,Onion,Jaipur,3668.0,3868.0,3768.0,290.0,Rs/Quintal
721,2026-06-03,Onion,Ahmedabad,3408.0,3608.0,3508.0,269.0,Rs/Quintal
811,2026-06-03,Onion,Surat,3457.0,3657.0,3557.0,406.0,Rs/Quintal
901,2026-06-03,Onion,Kanpur,3357.0,3557.0,3457.0,390.0,Rs/Quintal
991,2026-06-03,Onion,Lucknow,3471.0,3671.0,3571.0,456.0,Rs/Quintal
1081,2026-06-03,Onion,Varanasi,3405.0,3605.0,3505.0,417.0,Rs/Quintal
1171,2026-06-03,Onion,Agra,3595.0,3795.0,3695.0,295.0,Rs/Quintal
1261,2026-06-03,Onion,Bareilly,3555.0,3755.0,3655.0,253.0,Rs/Quintal
1351,2026-06-03,Onion,Kolkata,3594.0,3794.0,3694.0,187.0,Rs/Quintal
1441,2026-06-03,Onion,Bhubaneswar,3575.0,3775.0,3675.0,308.0,Rs/Quintal
1531,2026-06-03,Onion,Cuttack,3641.0,3841.0,3741.0,328.0,Rs/Quintal
1621,2026-06-03,Onion,Patna,3530.0,3730.0,3630.0,76.0,Rs/Quintal
1711,2026-06-03,Onion,Ranchi,3427.0,3627.0,3527.0,298.0,Rs/Quintal
1801,2026-06-03,Onion,Chennai,3310.0,3510.0,3410.0,415.0,Rs/Quintal
1891,2026-06-03,Onion,Coimbatore,3728.0,3928.0,3828.0,448.0,Rs/Quintal
1981,2026-06-03,Onion,Madurai,3711.0,3911.0,3811.0,207.0,Rs/Quintal
2071,2026-06-03,Onion,Hyderabad,3382.0,3582.0,3482.0,374.0,Rs/Quintal
2161,2026-06-03,Onion,Warangal,3492.0,3692.0,3592.0,361.0,Rs/Quintal
2251,2026-06-03,Onion,Bangalore,3725.0,3925.0,3825.0,80.0,Rs/Quintal
2341,2026-06-03,Onion,Mysore,3632.0,3832.0,3732.0,198.0,Rs/Quintal
2431,2026-06-03,Onion,Hubli,3331.0,3531.0,3431.0,375.0,Rs/Quintal
2521,2026-06-03,Onion,Shimoga,3482.0,3682.0,3582.0,141.0,Rs/Quintal
2611,2026-06-03,Onion,Bellary,3711.0,3911.0,3811.0,492.0,Rs/Quintal
2701,2026-06-03,Potato,Azadpur,4097.0,4297.0,4197.0,493.0,Rs/Quintal
2791,2026-06-03,Potato,Lasalgaon,3970.0,4170.0,4070.0,239.0,Rs/Quintal
2881,2026-06-03,Potato,Vashi,3975.0,4175.0,4075.0,144.0,Rs/Quintal
2971,2026-06-03,Potato,Kolar,4261.0,4461.0,4361.0,467.0,Rs/Quintal
3061,2026-06-03,Potato,Indore,4265.0,4465.0,4365.0,63.0,Rs/Quintal
3151,2026-06-03,Potato,Pune,4217.0,4417.0,4317.0,355.0,Rs/Quintal
3241,2026-06-03,Potato,Mumbai,4055.0,4255.0,4155.0,346.0,Rs/Quintal
3331,2026-06-03,Potato,Jaipur,4040.0,4240.0,4140.0,414.0,Rs/Quintal
3421,2026-06-03,Potato,Ahmedabad,4315.0,4515.0,4415.0,319.0,Rs/Quintal
3511,2026-06-03,Potato,Surat,4054.0,4254.0,4154.0,114.0,Rs/Quintal
3601,2026-06-03,Potato,Kanpur,4306.0,4506.0,4406.0,181.0,Rs/Quintal
3691,2026-06-03,Potato,Lucknow,3933.0,4133.0,4033.0,86.0,Rs/Quintal
3781,2026-06-03,Potato,Varanasi,4227.0,4427.0,4327.0,102.0,Rs/Quintal
3871,2026-06-03,Potato,Agra,4130.0,4330.0,4230.0,351.0,Rs/Quintal
3961,2026-06-03,Potato,Bareilly,4270.0,4470.0,4370.0,190.0,Rs/Quintal
4051,2026-06-03,Potato,Kolkata,3907.0,4107.0,4007.0,275.0,Rs/Quintal
4141,2026-06-03,Potato,Bhubaneswar,4341.0,4541.0,4441.0,268.0,Rs/Quintal
4231,2026-06-03,Potato,Cuttack,3910.0,4110.0,4010.0,236.0,Rs/Quintal
4321,2026-06-03,Potato,Patna,4101.0,4301.0,4201.0,327.0,Rs/Quintal
4411,2026-06-03,Potato,Ranchi,3988.0,4188.0,4088.0,279.0,Rs/Quintal
4501,2026-06-03,Potato,Chennai,3983.0,4183.0,4083.0,297.0,Rs/Quintal
4591,2026-06-03,Potato,Coimbatore,3895.0,4095.0,3995.0,490.0,Rs/Quintal
4681,2026-06-03,Potato,Madurai,4109.0,4309.0,4209.0,368.0,Rs/Quintal
4771,2026-06-03,Potato,Hyderabad,4210.0,4410.0,4310.0,75.0,Rs/Quintal
4861,2026-06-03,Potato,Warangal,4064.0,4264.0,4164.0,98.0,Rs/Quintal
4951,2026-06-03,Potato,Bangalore,4026.0,4226.0,4126.0,69.0,Rs/Quintal
5041,2026-06-03,Potato,Mysore,3955.0,4155.0,4055.0,180.0,Rs/Quintal
5131,2026-06-03,Potato,Hubli,4284.0,4484.0,4384.0,469.0,Rs/Quintal
5221,2026-06-03,Potato,Shimoga,4204.0,4404.0,4304.0,383.0,Rs/Quintal
5311,2026-06-03,Potato,Bellary,4109.0,4309.0,4209.0,69.0,Rs/Quintal
5401,2026-06-03,Tomato,Azadpur,4826.0,5026.0,4926.0,259.0,Rs/Quintal
5491,2026-06-03,Tomato,Lasalgaon,4719.0,4919.0,4819.0,282.0,Rs/Quintal
5581,2026-06-03,Tomato,Vashi,4943.0,5143.0,5043.0,321.0,Rs/Quintal
5671,2026-06-03,Tomato,Kolar,4637.0,4837.0,4737.0,97.0,Rs/Quintal
5761,2026-06-03,Tomato,Indore,4807.0,5007.0,4907.0,204.0,Rs/Quintal
5851,2026-06-03,Tomato,Pune,4777.0,4977.0,4877.0,98.0,Rs/Quintal
5941,2026-06-03,Tomato,Mumbai,4842.0,5042.0,4942.0,149.0,Rs/Quintal
6031,2026-06-03,Tomato,Jaipur,4888.0,5088.0,4988.0,439.0,Rs/Quintal
6121,2026-06-03,Tomato,Ahmedabad,4995.0,5195.0,5095.0,450.0,Rs/Quintal
6211,2026-06-03,Tomato,Surat,4823.0,5023.0,4923.0,388.0,Rs/Quintal
6301,2026-06-03,Tomato,Kanpur,4959.0,5159.0,5059.0,380.0,Rs/Quintal
6391,2026-06-03,Tomato,Lucknow,4849.0,5049.0,4949.0,333.0,Rs/Quintal
6481,2026-06-03,Tomato,Varanasi,4957.0,5157.0,5057.0,165.0,Rs/Quintal
6571,2026-06-03,Tomato,Agra,4817.0,5017.0,4917.0,336.0,Rs/Quintal
